"","logFC"
"DOHH",-0.19343138
"DOK1",-0.63793104
"DOK4",0.27279816
"DOK5",0.18992801
"DOLK",-0.65597332
"DOLPP1",-0.3885483
"DONSON",-0.28958504
"DOPEY1",0.57175932
"DOPEY2",0.1405071
"DOT1L",0.10863198
"DPAGT1",-0.43557847
"DPCD",1.5808555
"DPF2",-0.17947336
"DPF3",-0.62334833
"DPH1",-0.2592675
"DPH2",-0.4760705
"DPH3",-0.28880315
"DPH5",-0.23682771
"DPH6",-0.37515826
"DPH7",-0.26707552
"DPM1",-0.04255055
"DPM2",-0.18242828
"DPM3",0.21405447
"DPP3",-0.04328238
"DPP4",0.61272221
"DPP7",0.8503792
"DPP8",-0.0403519
"DPP9",0.18751861
"DPY19L1",0.02510287
"DPY19L1P1",0.19890305
"DPY19L2P2",2.66632205
"DPY19L3",-0.43852345
"DPY19L4",0.04833936
"DPY30",-0.10394611
"DPYD",0.33302482
"DPYSL2",0.79142887
"DPYSL3",0.17477573
"DPYSL4",8.0090782
"DR1",-0.06196417
"DRAM1",-0.0680558
"DRAM2",0.03109718
"DRAP1",0.21988899
"DRG1",-0.40936414
"DRG2",0.0465521
"DROSHA",0.01715314
"DSCC1",0.16791509
"DSCR3",-0.00388259
"DSE",-0.29919471
"DSEL",-0.67566891
"DSN1",0.0500562
"DST",0.28499694
"DSTN",-0.28683046
"DSTNP2",1.4535819
"DSTYK",-0.14806734
"DTD1",0.46748492
"DTD2",-0.49179396
"DTL",-0.20548585
"DTNA",1.74988642
"DTNB",-0.55414601
"DTNBP1",-0.5703699
"DTWD1",-0.15958403
"DTWD2",0.99002914
"DTX2",-0.12340689
"DTX3",0.24454878
"DTX3L",-0.04858658
"DTYMK",-0.02948671
"DUS1L",0.0509284
"DUS2",-0.45250383
"DUS3L",0.07200851
"DUS4L",-0.3472341
"DUSP1",0.24136166
"DUSP11",-0.38618261
"DUSP12",-0.01004435
"DUSP14",-0.15390304
"DUSP16",-0.11817471
"DUSP18",-0.19531896
"DUSP19",-0.32904603
"DUSP22",0.08867178
"DUSP23",-0.79480247
"DUSP3",0.6157638
"DUSP4",-1.55460762
"DUSP5",-0.06423481
"DUSP6",0.63423212
"DUSP7",0.27617248
"DUT",0.15550071
"DVL1",0.10358219
"DVL2",-0.58656408
"DVL3",-0.25250804
"DXO",-0.37345379
"DYM",-0.01477314
"DYNC1H1",0.38461649
"DYNC1I1",0.54337713
"DYNC1I2",-0.19072432
"DYNC1LI1",-0.44390111
"DYNC1LI2",-0.09871613
"DYNC2H1",0.31130907
"DYNC2LI1",0.02927636
"DYNLL1-AS1",-0.23477148
"DYNLL1",0.0712648
"DYNLL2",-0.06856706
"DYNLRB1",0.06728222
"DYNLT1",-0.30055502
"DYNLT3",0.52458841
"DYRK1A",0.05523627
"DYRK1B",0.60315053
"DYRK2",-0.43051437
"DYRK3",-0.66029137
"DYRK4",0.29646945
"DYSF",0.22106659
"DYX1C1-CCPG1",0.14616629
"DYX1C1",-0.50795775
"DZIP1",-0.46721435
"DZIP3",0.1467766
"E2F1",0.0700341
"E2F2",-0.42763413
"E2F3",-0.61520025
"E2F4",-0.18247625
"E2F5",-0.5620414
"E2F6",-0.14586892
"E2F7",0.24069508
"E2F8",-0.04966975
"E4F1",0.08688925
"EAF1",0.02031348
"EAPP",0.17725739
"EARS2",-0.55823122
"EBAG9",-0.09756772
"EBLN2",0.33376854
"EBLN3",0.25945017
"EBNA1BP2",-0.22829294
"EBP",-0.38383477
"EBPL",0.11895141
"ECD",-0.37880068
"ECE1",0.52740744
"ECH1",0.17824831
"ECHDC1",-0.72877204
"ECHDC3",0.08237646
"ECHS1",0.58182719
"ECI1",-0.0553034
"ECI2",-0.27074985
"ECM1",0.91334628
"ECSCR",-0.00755738
"ECSIT",0.08982749
"ECT2",-0.19234605
"EDA2R",-0.09884162
"EDARADD",1.12197976
"EDC3",-0.12199857
"EDC4",-0.1364508
"EDEM1",0.58570995
"EDEM2",-0.10738732
"EDEM3",-0.4140891
"EDF1",0.43245016
"EDIL3",0.44548097
"EDN1",-0.10777146
"EDNRB",-1.16072084
"EDRF1",-0.2826864
"EEA1",-0.05966844
"EED",-0.07326831
"EEF1A1",0.35548603
"EEF1A2",7.10507207
"EEF1B2",-0.14026089
"EEF1D",0.08370202
"EEF1E1-BLOC1S5",-0.66197732
"EEF1E1",-0.79797649
"EEF1G",0.0825034
"EEF2",0.11346162
"EEF2K",0.03826325
"EEFSEC",1.23714391
"EFCAB11",0.45543504
"EFCAB13",0.38093061
"EFCAB14",-0.10090536
"EFCAB2",0.10007798
"EFCAB7",-0.73429109
"EFEMP1",0.13468954
"EFEMP2",1.26257667
"EFHC1",-0.02666276
"EFHD2",-0.20927844
"EFNA1",-0.07383058
"EFNA3",2.89498241
"EFNA4",-0.18750357
"EFNA5",-0.08814368
"EFNB1",-0.46142368
"EFNB2",-0.16828965
"EFR3A",-0.23417997
"EFR3B",-0.80009563
"EFTUD1",0.57536593
"EFTUD1P1",-0.0668383
"EFTUD2",-0.09493771
"EGFL7",0.52785781
"EGFL8",0.14452589
"EGFR",0.10382539
"EGLN1",1.92939938
"EGLN2",-0.16114079
"EGLN3",5.05301866
"EGR1",1.83910265
"EHBP1",-0.00841044
"EHBP1L1",0.10133569
"EHD1",-0.16818231
"EHD2",1.48525716
"EHD4",-0.2141882
"EHHADH",0.06540173
"EHMT1",-0.10341664
"EHMT2",-0.09308419
"EI24",0.02294956
"EID1",0.11767258
"EID2",-0.46740461
"EID2B",0.00826922
"EID3",0.62895522
"EIF1",0.27458048
"EIF1AD",-0.15134249
"EIF1AX",-0.05114981
"EIF1B",-0.51359324
"EIF2A",-0.06502753
"EIF2AK1",0.07585258
"EIF2AK2",-0.06217576
"EIF2AK3",0.03132168
"EIF2AK4",-0.15765258
"EIF2B1",-0.11390348
"EIF2B2",-0.11744853
"EIF2B3",-0.32472987
"EIF2B4",-0.48846979
"EIF2B5",-0.20424685
"EIF2D",-0.06906508
"EIF2S1",-0.34016004
"EIF2S2",-0.15444922
"EIF2S3",-0.37120526
"EIF3A",-0.41585642
"EIF3B",0.50419818
"EIF3C",-0.40987315
"EIF3CL",-0.40995533
"EIF3D",0.00876927
"EIF3E",-0.13068793
"EIF3F",0.16354498
"EIF3G",0.040098
"EIF3H",-0.11793451
"EIF3I",-0.34207124
"EIF3IP1",-0.7739209
"EIF3J-AS1",0.2448907
"EIF3J",-0.505886
"EIF3K",-0.00053484
"EIF3L",0.04770931
"EIF3M",-0.45201402
"EIF4A1",-0.09426969
"EIF4A2",-0.03960493
"EIF4A3",0.29013343
"EIF4B",-0.02457878
"EIF4E",-0.32628445
"EIF4E2",-0.13313784
"EIF4E3",0.08701999
"EIF4EBP1",0.96734862
"EIF4EBP2",0.0268892
"EIF4EBP3",-0.22962921
"EIF4ENIF1",-0.10104566
"EIF4G1",-0.00417667
"EIF4G2",0.08177811
"EIF4G3",0.06156025
"EIF4H",0.27192483
"EIF5",-0.02271931
"EIF5A",-0.24035726
"EIF5A2",-0.23704743
"EIF5AL1",-0.21171041
"EIF5B",-0.57240152
"EIF6",-0.19808175
"ELAC1",-0.08616262
"ELAC2",-0.39195074
"ELAVL1",-0.09482505
"ELF1",-0.24365572
"ELF2",-0.14102902
"ELF4",-0.05014385
"ELK1",0.03471647
"ELK3",-0.29907724
"ELK4",0.06785569
"ELL",0.10460333
"ELL2",0.49622964
"ELMO1",0.08647231
"ELMO2",-0.31679465
"ELMO3",0.15130282
"ELMOD2",-0.13519019
"ELMOD3",0.29848111
"ELMSAN1",0.56888482
"ELOF1",-0.31438771
"ELOVL1",-0.0860415
"ELOVL4",-0.67516045
"ELOVL5",-0.55077891
"ELOVL6",-0.2063511
"ELP2",0.10415215
"ELP3",0.05326276
"ELP4",-0.12233047
"ELP5",-0.4196876
"ELP6",0.1424873
"ELTD1",-0.19459412
"EMC1",0.20787186
"EMC10",0.39270626
"EMC2",-0.32501323
"EMC3-AS1",0.04420457
"EMC3",-0.06311619
"EMC4",0.04881754
"EMC6",-0.27153827
"EMC7",-0.33112375
"EMC8",-0.49553006
"EMC9",0.77165574
"EMCN",-0.16645408
"EMD",0.64644173
"EME1",0.25037684
"EME2",-0.16792125
"EMG1",-0.45667388
"EMILIN1",1.05638977
"EMILIN2",-0.44905844
"EML1",0.18005727
"EML2",-0.21182746
"EML3",-0.27857013
"EML4",-0.23304952
"EMP1",-0.79751384
"EMP2",0.30880689
"EMP3",-0.20554779
"ENAH",-0.45455777
"ENC1",-0.0672278
"ENDOD1",-0.28921744
"ENDOG",1.21265942
"ENDOV",0.2484541
"ENG",0.14498519
"ENGASE",0.09080754
"ENKD1",0.25336267
"ENO1",1.18557035
"ENO2",4.1153225
"ENOPH1",-0.53089684
"ENOSF1",1.03084531
"ENOX1",-0.9234775
"ENOX2",-0.3786237
"ENPP1",-0.63943215
"ENPP4",0.07779121
"ENSA",-0.1990461
"ENTHD2",0.07072341
"ENTPD1",-0.36995078
"ENTPD4",-0.05598324
"ENTPD5",-0.00613024
"ENTPD6",0.29274568
"ENTPD7",-0.39917357
"ENY2",-0.00156918
"EOGT",-0.10437631
"EP300",0.39106082
"EP400",0.22871114
"EP400NL",-0.26052413
"EPAS1",0.27291163
"EPB41",-0.12308542
"EPB41L1",1.66156004
"EPB41L2",0.59571086
"EPB41L3",0.09037448
"EPB41L4A-AS1",-0.5925858
"EPB41L4A",-0.27364085
"EPB41L5",-0.01074705
"EPC1",0.87301301
"EPC2",0.10801083
"EPCAM",1.10164244
"EPG5",0.08610256
"EPGN",-1.89721325
"EPHA2",-0.25042008
"EPHA4",-0.39519848
"EPHA5",-0.55962906
"EPHB2",-0.400325
"EPHB4",-0.59710109
"EPHX1",-1.07160476
"EPM2A",0.19630502
"EPM2AIP1",0.24008895
"EPN1",0.55163952
"EPN2",0.04147358
"EPOR",1.12920593
"EPPK1",1.34415211
"EPRS",-0.03041381
"EPS15",0.07485076
"EPS15L1",0.11508136
"EPS8",-0.4363948
"EPS8L1",-0.78902328
"EPS8L2",3.79481789
"EPSTI1",0.37024599
"EPT1",-0.4878657
"ERAL1",-0.25293668
"ERAP1",0.23221054
"ERAP2",0.43844499
"ERBB2",-0.28672974
"ERBB2IP",-0.18989481
"ERC1",0.18760778
"ERC2",-0.15171185
"ERCC1",0.19374541
"ERCC2",-0.6206506
"ERCC3",0.0458985
"ERCC4",-0.18278427
"ERCC5",-0.27303815
"ERCC6-PGBD3",-0.28376362
"ERCC6",-0.0855089
"ERCC6L",-0.17294934
"ERCC6L2",0.41962369
"ERCC8",-0.2610054
"ERF",0.16890268
"ERG",-0.13757808
"ERGIC1",0.02555877
"ERGIC2",-0.27481503
"ERGIC3",0.39919737
"ERH",-0.58709092
"ERI1",-0.45759599
"ERI2",-0.08781242
"ERI3",-0.13665161
"ERICH1",-0.01891935
"ERLEC1",-0.02246312
"ERLIN1",0.47222436
"ERLIN2",0.24596311
"ERMAP",0.64117293
"ERMARD",0.06629735
"ERMP1",1.22719401
"ERN1",-0.00368448
"ERO1L",2.53684155
"ERO1LB",0.21463472
"ERP29",-0.1241357
"ERP44",0.13936801
"ERRFI1",1.01763388
"ERV3-1",0.50918788
"ERVK13-1",0.54789444
"ESAM",-0.20818155
"ESCO1",0.96041271
"ESCO2",-0.10048591
"ESD",-0.10520991
"ESF1",-0.4287496
"ESM1",0.20629681
"ESPL1",-0.06057526
"ESPN",2.72205581
"ESRP2",1.92256275
"ESRRA",-0.84381697
"ESYT1",0.27751679
"ESYT2",0.51452043
"ETAA1",-0.11850074
"ETF1",-0.51074673
"ETFA",-0.0611134
"ETFB",0.0819037
"ETFDH",-0.258463
"ETHE1",-0.00446589
"ETNK1",-0.07622215
"ETNK2",0.34767022
"ETS1",0.4309935
"ETS2",-0.20975115
"ETV1",-0.68627291
"ETV3",0.89130078
"ETV4",-0.25865298
"ETV5",-0.52572456
"ETV6",-0.17227534
"EVA1A",-0.25966983
"EVA1B",-0.80541267
"EVA1C",-0.30802489
"EVC",0.38648937
"EVC2",0.52833992
"EVI2A",1.13701452
"EVI5",-0.29931304
"EVI5L",0.21118485
"EVL",-0.03422168
"EWSR1",-0.10795123
"EXD2",0.11323091
"EXD3",0.06823441
"EXO1",-0.49566842
"EXO5",0.09780589
"EXOC1",-0.01093611
"EXOC2",0.27573469
"EXOC3",0.25477326
"EXOC4",0.06373259
"EXOC5",0.27545335
"EXOC6",-0.09762113
"EXOC6B",-0.06835232
"EXOC7",0.21454046
"EXOC8",-0.1004883
"EXOG",-0.17166919
"EXOSC1",-0.50772419
"EXOSC10",-0.38157024
"EXOSC2",-0.29038023
"EXOSC3",-0.3346207
"EXOSC4",-0.59926671
"EXOSC5",-0.05308806
"EXOSC6",-0.08752028
"EXOSC7",-0.04533223
"EXOSC8",-0.36929733
"EXOSC9",-0.33287101
"EXPH5",-0.49484753
"EXT1",-0.08301126
"EXT2",0.26181687
"EXTL2",-0.14702465
"EXTL3",-0.25451462
"EYA3",-0.1129087
"EZH1",0.03546372
"EZH2",-0.33080236
"EZR",0.38701464
"F11R",0.03740991
"F12",0.35657893
"F2R",-0.14057866
"F2RL1",0.18221707
"F2RL2",-0.24579714
"F3",0.17751362
"F8",2.56912988
"F8A1",1.11750562
"F8A2",0.92732042
"F8A3",0.92732042
"FABP3",2.53874011
"FADD",-0.51441873
"FADS1",-0.46326631
"FADS2",-0.3292002
"FADS3",-0.07201868
"FAF1",-0.1664159
"FAF2",-0.22541125
"FAH",-0.25846201
"FAHD1",0.43164752
"FAHD2A",-0.11163287
"FAHD2B",0.5670519
"FAHD2CP",0.81501676
"FAIM",0.4266379
"FAM101A",-0.82108808
"FAM101B",-0.47247952
"FAM102A",-0.96356263
"FAM102B",-0.04269611
"FAM103A1",-0.0985796
"FAM104A",-0.28735783
"FAM104B",0.14042148
"FAM107A",0.72510659
"FAM107B",-0.11184054
"FAM109A",-1.36332741
"FAM109B",-0.48026705
"FAM110A",-0.3317738
"FAM111A",-0.11725829
"FAM111B",-0.42375671
"FAM114A1",0.34977172
"FAM114A2",0.01129191
"FAM115A",-0.03389882
"FAM115C",1.15308276
"FAM115D",1.15037897
"FAM117A",-0.73359558
"FAM117B",2.20019142
"FAM118A",-0.14961019
"FAM118B",-0.64680967
"FAM120A",0.17128293
"FAM120AOS",0.49991684
"FAM120B",0.16728775
"FAM120C",-0.2181737
"FAM122A",-0.08423715
"FAM122B",0.35798219
"FAM124A",-0.80254778
"FAM124B",-0.59933308
"FAM126A",-0.34875715
"FAM126B",-0.01681866
"FAM127A",0.73529681
"FAM127B",0.29465484
"FAM127C",0.51350347
"FAM129A",-0.43670618
"FAM129B",0.33164679
"FAM131A",0.48354959
"FAM131B",0.50002844
"FAM133B",0.17985673
"FAM133DP",0.18632403
"FAM134A",0.56471697
"FAM134C",-0.26316002
"FAM135A",-0.30792136
"FAM136A",-0.18413818
"FAM13A-AS1",1.99080289
"FAM13A",1.91089154
"FAM13B",0.06481596
"FAM149B1",0.32071222
"FAM151B",-0.0135551
"FAM155A",-0.55584004
"FAM156A",0.43035751
"FAM156B",0.43624966
"FAM160A2",0.62329465
"FAM160B1",-0.1792734
"FAM160B2",-0.04161485
"FAM161A",-0.24611764
"FAM161B",0.74284667
"FAM162A",2.87415628
"FAM167A",-0.47277963
"FAM168A",0.39192192
"FAM168B",-0.12411856
"FAM171A1",0.09538422
"FAM171A2",-0.73493213
"FAM171B",-0.49577923
"FAM172A",0.59120575
"FAM173A",-0.0222229
"FAM173B",-0.08738427
"FAM174A",0.34894503
"FAM174B",0.08808941
"FAM175A",-0.66961421
"FAM175B",-0.26081811
"FAM177A1",0.06610598
"FAM178A",-0.11680122
"FAM179B",0.35405987
"FAM185A",-0.00135502
"FAM188A",-0.25235854
"FAM188B",-0.4916734
"FAM189A1",-1.30849113
"FAM189B",-0.23427805
"FAM192A",0.02419053
"FAM193A",0.46603038
"FAM193B",0.57218983
"FAM195A",0.50606014
"FAM195B",0.36838616
"FAM196B",-0.56038936
"FAM198B",-1.00681789
"FAM199X",-0.31897886
"FAM200A",0.18801657
"FAM200B",-0.09814688
"FAM204A",0.21701715
"FAM206A",-0.12255787
"FAM207A",0.52447777
"FAM208A",0.26439026
"FAM208B",-0.23840134
"FAM20B",0.05520197
"FAM20C",0.58195405
"FAM210A",1.58449024
"FAM210B",-0.34640305
"FAM212A",-0.52626319
"FAM212B",-0.28380517
"FAM213A",-0.05589801
"FAM213B",0.03633149
"FAM214A",0.03929616
"FAM214B",-0.48697104
"FAM216A",0.46375301
"FAM217B",-0.43757191
"FAM219A",0.9912447
"FAM219B",0.10305507
"FAM21A",-0.19646746
"FAM21C",-0.17385827
"FAM220A",0.65072759
"FAM221A",0.06616548
"FAM222B",-0.00545201
"FAM228B",0.71499483
"FAM229B",0.48167648
"FAM24B-CUZD1",0.64426228
"FAM24B",0.25451901
"FAM26E",-0.73792609
"FAM26F",5.25654599
"FAM27E2",-0.7529628
"FAM27E3",-1.04687713
"FAM32A",0.11996724
"FAM35A",-0.25862545
"FAM35DP",-0.17800736
"FAM3A",0.3821034
"FAM3C",-0.2261962
"FAM3D",0.3432039
"FAM43A",-0.63898287
"FAM45A",-0.18306588
"FAM45B",-0.18093691
"FAM46A",0.78182035
"FAM46C",0.82845559
"FAM47E-STBD1",2.38669899
"FAM49A",0.12873591
"FAM49B",0.0222706
"FAM50A",-0.20254206
"FAM50B",0.09472523
"FAM53A",-0.37814522
"FAM53B",-0.04390753
"FAM53C",-0.05820868
"FAM57A",1.18466478
"FAM58A",-0.17633951
"FAM60A",-0.08696569
"FAM63A",0.47831388
"FAM63B",0.85962747
"FAM64A",-0.08775351
"FAM65A",0.34730557
"FAM69B",0.53307552
"FAM72A",-0.18354011
"FAM72B",-0.32692024
"FAM72C",-0.3472617
"FAM72D",-0.54351207
"FAM73A",-0.00322273
"FAM73B",0.28799175
"FAM76A",-0.6671286
"FAM76B",0.01982552
"FAM78A",-0.97312718
"FAM83D",-0.16713059
"FAM83G",0.4595513
"FAM83H",5.02022308
"FAM84B",-0.80123878
"FAM86A",-0.85356898
"FAM86B1",-0.57489271
"FAM86B3P",-0.02105582
"FAM86C1",-0.81297041
"FAM86C2P",-0.54027446
"FAM86DP",-0.4556984
"FAM86EP",-0.57056584
"FAM86FP",-0.59128406
"FAM89B",0.05503801
"FAM8A1",-0.09209559
"FAM91A1",-0.28549268
"FAM92A1",-0.23033851
"FAM95B1",-1.53790734
"FAM96A",0.04400686
"FAM96B",0.20961897
"FAM98A",-0.76664331
"FAM98B",0.48884642
"FAM98C",-0.05923472
"FAN1",0.46525411
"FANCA",-0.16962805
"FANCB",0.04329031
"FANCC",-0.00920571
"FANCD2",-0.09956856
"FANCE",-0.28495934
"FANCF",-0.046958
"FANCG",-0.06367871
"FANCI",0.0591174
"FANCL",-0.12724876
"FANCM",-0.0475769
"FAP",0.7420244
"FAR1",-0.33770542
"FAR2",-0.00615117
"FARP1",-0.1062068
"FARP2",-0.12187628
"FARS2",0.07696346
"FARSA",-0.24919462
"FARSB",-0.75661496
"FAS",-0.18374205
"FASN",-0.49003658
"FASTK",0.19809573
"FASTKD1",0.12410676
"FASTKD2",-0.27784575
"FASTKD3",-0.34634277
"FASTKD5",-0.31362745
"FAT1",-1.00909433
"FAT4",0.02420084
"FAU",0.13593541
"FBF1",0.34492607
"FBL",0.34091185
"FBLIM1",-0.32818571
"FBLN2",1.32658107
"FBLN5",0.00612674
"FBLN7",1.85072281
"FBN1",0.57234488
"FBN2",-0.27301943
"FBP1",0.16826407
"FBRS",0.36656138
"FBRSL1",-0.22792321
"FBXL12",0.27357063
"FBXL13",0.85438927
"FBXL14",1.50309645
"FBXL15",0.30870611
"FBXL17",0.71174505
"FBXL18",-0.23165062
"FBXL19",0.04105048
"FBXL2",-0.13992819
"FBXL20",-0.08890594
"FBXL3",0.32129502
"FBXL4",0.23307817
"FBXL5",0.68510604
"FBXL6",-0.05875916
"FBXL7",0.40343312
"FBXL8",-0.23416857
"FBXO10",0.05739136
"FBXO11",0.24978795
"FBXO17",-0.19222317
"FBXO18",0.25946225
"FBXO21",0.37902519
"FBXO22",-0.36373349
"FBXO25",0.14015994
"FBXO27",-0.11870841
"FBXO28",-0.13839467
"FBXO3",-0.31206473
"FBXO30",-0.46550158
"FBXO31",-0.04962459
"FBXO33",0.1306149
"FBXO34",-0.14854526
"FBXO36",0.03319019
"FBXO38",0.13196399
"FBXO4",0.11778526
"FBXO42",0.74671343
"FBXO43",-0.37470674
"FBXO44",0.03234952
"FBXO45",0.33550588
"FBXO46",0.21914766
"FBXO5",-0.07102363
"FBXO7",-0.10297962
"FBXO8",0.34058692
"FBXO9",-0.34967921
"FBXW11",-0.18854039
"FBXW2",0.14152113
"FBXW4",0.29817806
"FBXW4P1",0.55312328
"FBXW5",0.59853021
"FBXW7",-0.09209417
"FBXW8",-0.01212483
"FBXW9",0.53870223
"FCF1",-0.05173523
"FCGRT",0.25671129
"FCHO2",0.44775307
"FCHSD1",0.50291831
"FCHSD2",-0.09725183
"FDFT1",-0.24582876
"FDPS",-0.35519934
"FDPSP2",0.0909071
"FDX1",-0.23610291
"FDX1L",-0.01613385
"FDXACB1",-0.66640987
"FDXR",-0.09569754
"FECH",0.07358027
"FEM1A",-0.01006824
"FEM1B",-0.11996308
"FEM1C",0.68759462
"FEN1",-0.3593708
"FER",0.39701674
"FER1L4",4.10447388
"FERMT2",0.19706566
"FERMT3",-0.41497027
"FES",0.09033204
"FEZ1",-0.5764702
"FEZ2",0.23985798
"FGD1",-0.41396202
"FGD4",0.16505849
"FGD5-AS1",-0.14959075
"FGD5",-0.06615675
"FGD6",-0.08094976
"FGF1",0.24839689
"FGF11",5.95590606
"FGF12",-0.58018156
"FGF2",-0.71875109
"FGF5",-0.56229139
"FGFR1",0.27187935
"FGFR1OP",-0.03598477
"FGFR1OP2",0.73632096
"FGFR4",0.4080053
"FGFRL1",0.26535493
"FGGY",1.10708313
"FH",-0.70272142
"FHL1",0.05143215
"FHL2",0.18545551
"FHL3",-0.1102399
"FHOD1",-0.70319511
"FIBP",0.24967548
"FICD",-0.84264367
"FIG4",0.32552436
"FIGN",-0.48805253
"FIGNL1",0.00067984
"FILIP1L",-0.21099925
"FIP1L1",-0.30118476
"FIRRE",-0.56610709
"FIS1",0.02696922
"FITM2",0.18931492
"FIZ1",-0.25585273
"FJX1",0.07630869
"FKBP10",0.32094421
"FKBP11",-0.29205223
"FKBP14",-0.38331721
"FKBP15",0.4181428
"FKBP1A-SDCBP2",0.13742087
"FKBP1A",0.52390531
"FKBP1AP1",0.39457823
"FKBP1B",0.56927874
"FKBP2",-0.04991396
"FKBP3",0.04528517
"FKBP4",0.28851655
"FKBP5",-0.35993106
"FKBP7",-0.04920764
"FKBP8",0.87614513
"FKBP9",0.91258564
"FKBP9P1",0.81161909
"FKBPL",-0.79068804
"FKRP",0.5582391
"FKTN",-0.23540985
"FLAD1",-0.53329888
"FLCN",-0.3925348
"FLI1",-0.33307723
"FLII",0.0954006
"FLJ10038",0.29282016
"FLJ20021",-0.13269097
"FLJ23867",0.60529889
"FLJ31306",-0.05227582
"FLJ32255",-0.11043045
"FLJ37453",0.11061261
"FLJ43681",-0.03733797
"FLJ44511",0.49645797
"FLJ44635",0.57367562
"FLJ46906",0.30901955
"FLNA",0.90620154
"FLNB",0.06328964
"FLNC",0.30262278
"FLOT1",-0.26196163
"FLOT2",-0.02385744
"FLRT2",-0.59529752
"FLRT3",-2.65283033
"FLT1",-0.19578109
"FLT4",-0.21842737
"FLVCR1",-0.11177951
"FLYWCH1",-0.29556948
"FLYWCH2",0.02959188
"FMNL1",0.24416565
"FMNL2",-0.0871334
"FMNL3",-0.33579429
"FMOD",1.45719309
"FMR1",-0.18445888
"FN1",0.41276317
"FN3K",1.44377594
"FN3KRP",0.37757335
"FNBP1",0.18782201
"FNBP1L",-0.08497423
"FNBP4",0.08565371
"FNDC3A",-0.02639817
"FNDC3B",0.0124134
"FNDC4",-0.0174869
"FNIP1",-0.06904575
"FNIP2",0.92879734
"FNTA",-0.15707669
"FNTB",0.6139629
"FOCAD",-0.20226985
"FOPNL",-0.42289587
"FOS",1.62820283
"FOSL1",-0.13973506
"FOSL2",0.56663782
"FOXC1",-0.39351709
"FOXC2",-0.11310449
"FOXD1",5.1596558
"FOXF1",-0.71513718
"FOXJ2",-0.46775384
"FOXJ3",0.08295746
"FOXK1",0.0088074
"FOXK2",-0.10640445
"FOXL1",0.15273281
"FOXM1",0.06670837
"FOXN2",-0.13463988
"FOXN3",0.39217944
"FOXO1",-0.67326816
"FOXO3",0.80405324
"FOXO3B",0.19304874
"FOXO4",-0.03774516
"FOXP1",-0.26615893
"FOXP4",0.71428966
"FOXRED1",0.26266146
"FOXRED2",0.02499031
"FPGS",-0.26197745
"FPGT-TNNI3K",-0.50021709
"FPGT",-0.0872867
"FRA10AC1",-0.34109177
"FRAS1",-0.6722347
"FRAT2",-1.03349308
"FRG1",-0.22523043
"FRG1B",-0.04386491
"FRMD3",-0.28768391
"FRMD4A",-0.08728881
"FRMD4B",-0.25553944
"FRMD5",-0.3901081
"FRMD6-AS1",0.69918577
"FRMD6",0.16404267
"FRMD8",-0.00819074
"FRMPD4",-0.0126561
"FRS2",0.59679066
"FRS3",0.07294176
"FRY",-0.5800696
"FRYL",0.23987559
"FSBP",0.01260606
"FSCN1",0.59897232
"FSD1",0.14255521
"FSD1L",0.6234029
"FST",-0.51185977
"FSTL1",0.63495343
"FSTL3",0.82421725
"FTH1",-0.32102404
"FTH1P3",-0.18832631
"FTL",-0.05082795
"FTO",-0.25871203
"FTSJ1",0.04792494
"FTSJ2",-0.19647967
"FTSJ3",-0.51681781
"FTX",-0.4030421
"FUBP1",-0.15177573
"FUBP3",-0.0046063
"FUCA1",0.88145609
"FUCA2",-0.04802438
"FUK",0.90578252
"FUNDC1",-0.1056515
"FUNDC2",0.30124413
"FUOM",-0.30626982
"FURIN",0.26654981
"FUS",0.18246688
"FUT1",0.23862442
"FUT10",-0.49835154
"FUT11",1.80770027
"FUT4",0.31333556
"FUT8",-0.43168441
"FUZ",-0.14703185
"FXN",-0.25125506
"FXR1",-0.03364411
"FXR2",-0.21418494
"FXYD5",-0.13096808
"FXYD6-FXYD2",0.87999605
"FXYD6",-0.00017062
"FYCO1",-0.06276144
"FYN",0.1918161
"FYTTD1",0.16129787
"FZD1",2.40032536
"FZD3",0.91219932
"FZD4",-0.14918537
"FZD5",0.04006987
"FZD6",-0.20618464
"FZD7",3.51892776
"FZD8",-0.39452193
"FZD9",3.03771606
"FZR1",0.45508834
"G0S2",0.09664282
"G2E3",-0.00342287
"G3BP1",0.04075913
"G3BP2",0.14265253
"G6PC3",-0.01823852
"G6PD",-0.16980113
"GAA",0.89217597
"GAB1",0.43219789
"GAB2",-0.19922064
"GAB3",-0.41515265
"GABARAP",-0.15054243
"GABARAPL1",-0.15002871
"GABARAPL2",0.23803467
"GABBR1",1.41854824
"GABBR2",-0.03190846
"GABPA",0.53490165
"GABPB1-AS1",-0.25803501
"GABPB1",-0.16928128
"GABPB2",0.96654527
"GABRE",0.47989161
"GADD45A",-0.3909235
"GADD45B",0.28389378
"GADD45G",0.03748269
"GADD45GIP1",0.39382598
"GAK",-0.09322456
"GAL",-0.91092063
"GAL3ST4",0.10031343
"GALC",1.01524136
"GALE",0.19151805
"GALK1",0.36279839
"GALK2",0.09944224
"GALM",-0.0600339
"GALNS",0.75409082
"GALNT1",0.46093714
"GALNT10",-0.02325144
"GALNT11",0.07981511
"GALNT12",1.42092287
"GALNT15",0.90622768
"GALNT18",8.43199702
"GALNT2",0.20141894
"GALNT4",0.03814208
"GALNT6",0.14317202
"GALNT7",0.09659792
"GALT",-0.2308271
