"","logFC"
"AGA",0.61716927
"AGAP1",1.75709196
"AGAP2-AS1",0.10804291
"AGAP3",-0.19474784
"AGAP5",0.61553845
"AGAP6",0.4663822
"AGAP9",0.40783978
"AGBL5",-0.14121018
"AGFG1",-0.25883997
"AGFG2",-0.43041504
"AGGF1",0.24042084
"AGK",-0.17984495
"AGL",0.27134601
"AGMAT",-0.32628082
"AGO1",0.09072773
"AGO2",0.07731355
"AGO3",0.32115735
"AGO4",0.66127416
"AGPAT1",-0.0504947
"AGPAT2",-0.40721869
"AGPAT3",0.01403503
"AGPAT4",-0.1207755
"AGPAT5",0.90421988
"AGPAT6",-0.17857457
"AGPAT9",-0.7064094
"AGPS",-0.3873852
"AGRN",0.67048506
"AGTPBP1",0.7770591
"AGTRAP",-0.57408006
"AHCTF1",-0.17488399
"AHCTF1P1",-0.16786374
"AHCY",-0.26866188
"AHCYL1",-0.30543061
"AHCYL2",0.00922091
"AHDC1",0.11325966
"AHI1",0.02212415
"AHNAK",0.37631336
"AHNAK2",0.04208524
"AHR",-0.55501914
"AHRR",-0.45336792
"AHSA1",0.13270578
"AHSA2",0.24563628
"AIDA",0.189415
"AIF1L",-0.12455015
"AIFM1",-0.71029318
"AIFM2",0.4644019
"AIG1",0.78252021
"AIM1",0.40115719
"AIMP1",-0.26138282
"AIMP2",-0.55608474
"AIP",0.27349074
"AJUBA",0.44119819
"AK1",0.12149151
"AK2",1.73113895
"AK3",0.21978964
"AK4",3.81488209
"AK5",-0.26704366
"AK6",-0.53707643
"AK9",0.04151609
"AKAP1",-0.54959558
"AKAP10",0.46010503
"AKAP11",0.50799401
"AKAP12",1.1332178
"AKAP13",-0.30354097
"AKAP17A",0.2603796
"AKAP2",-0.30212506
"AKAP5",-0.70766749
"AKAP7",0.05535805
"AKAP8",-0.2861867
"AKAP8L",-0.13869621
"AKAP9",-0.05265257
"AKIP1",-0.4737127
"AKIRIN1",-0.24029042
"AKIRIN2",-0.23470127
"AKNA",0.54172531
"AKR1A1",-0.13151596
"AKR1B1",-0.15563817
"AKR1C3",-0.42560205
"AKR1E2",0.56147721
"AKR7A2",0.82537976
"AKT1",0.42873999
"AKT1S1",0.04326604
"AKT2",-0.06311917
"AKT3",0.04881903
"AKTIP",0.00074202
"ALAD",0.69063261
"ALAS1",-0.14734791
"ALCAM",0.18705375
"ALDH16A1",-0.00644916
"ALDH18A1",0.99092414
"ALDH1A1",-0.93991959
"ALDH1A2",-0.00841384
"ALDH1A3",-0.8647755
"ALDH1B1",-0.79235567
"ALDH1L2",-0.71227319
"ALDH2",0.36087972
"ALDH3A1",-1.64391434
"ALDH3A2",-0.69392025
"ALDH3B1",0.07172792
"ALDH4A1",-0.51209394
"ALDH5A1",-0.17931516
"ALDH6A1",0.14210576
"ALDH7A1",0.17642271
"ALDH9A1",-0.17204359
"ALDOA",1.40137112
"ALDOC",4.02786635
"ALG1",-0.55084193
"ALG10",0.21180309
"ALG10B",0.26368863
"ALG11",-0.29045602
"ALG12",-0.34050805
"ALG13",0.06385519
"ALG14",-0.34861171
"ALG2",-0.19818449
"ALG3",-0.61509226
"ALG5",-0.45750339
"ALG6",-0.43282751
"ALG8",0.04440739
"ALG9",0.73485108
"ALKBH1",-0.21343893
"ALKBH2",-0.89745505
"ALKBH3",-0.16880227
"ALKBH4",-0.13926608
"ALKBH5",1.1134999
"ALKBH6",0.17886798
"ALKBH7",0.11410266
"ALKBH8",-0.69918995
"ALMS1",0.9866312
"ALPK1",0.25326757
"ALPK3",-0.33667112
"ALS2",-0.09507201
"ALS2CL",-0.23548778
"ALX1",-0.46634657
"ALYREF",-0.23268827
"AMACR",-0.27849895
"AMBRA1",0.18464414
"AMD1",-0.61031097
"AMDHD2",0.12457789
"AMER1",-0.60317225
"AMFR",0.09810648
"AMIGO1",0.47685615
"AMIGO2",-0.89820358
"AMIGO3",0.69536832
"AMMECR1",-0.72511587
"AMMECR1L",-0.15962485
"AMN1",-0.13926094
"AMOT",-0.58876541
"AMOTL1",-0.03270728
"AMOTL2",-0.45524434
"AMPD2",0.13605343
"AMPD3",1.32691926
"AMZ2",0.29446946
"AMZ2P1",-0.05021736
"ANAPC1",-0.13133398
"ANAPC10",0.01886653
"ANAPC11",0.31684436
"ANAPC13",-0.4680307
"ANAPC15",0.03903254
"ANAPC16",0.52478681
"ANAPC1P1",-0.28066458
"ANAPC2",0.27115766
"ANAPC4",-0.02518708
"ANAPC5",0.03513882
"ANAPC7",-0.47120061
"ANG",2.07107183
"ANGEL1",-0.2071938
"ANGEL2",-0.02756579
"ANGPT1",-0.53552115
"ANGPT2",-0.69769297
"ANGPTL2",-0.70803837
"ANGPTL4",5.41219334
"ANK3",-0.11915639
"ANKAR",0.79291818
"ANKDD1A",0.70888414
"ANKEF1",-0.26214938
"ANKFY1",0.37764969
"ANKH",-0.41393815
"ANKHD1-EIF4EBP3",-0.03267917
"ANKHD1",-0.03040111
"ANKIB1",0.05498067
"ANKLE1",-0.79054871
"ANKLE2",0.14788848
"ANKMY1",-0.48359008
"ANKMY2",0.09412087
"ANKRA2",0.2322792
"ANKRD1",0.09575847
"ANKRD10",-0.18642336
"ANKRD11",-0.14596281
"ANKRD12",1.052204
"ANKRD13A",0.41043677
"ANKRD13B",-0.2173074
"ANKRD13C",-0.31248704
"ANKRD13D",0.1702342
"ANKRD16",1.56011249
